NAME_Geographic Area Name,B01001_001E_Total Population,B01002_001E_Median Age,B01002_002E_Median Age (Male),B01002_003E_Median Age (Female),B02001_002E_White Population,B02001_003E_Black Population,B02001_004E_American Indian Population,B02001_005E_Asian Population,B03003_003E_Hispanic or Latino Population,B19013_001E_Median Household Income,B19301_001E_Per Capita Income,B17001_002E_Population Below Poverty Level,B23025_002E_Total Labor Force,B23025_003E_Labor Force - Employed,B23025_004E_Labor Force - Unemployed,B23025_005E_Not in Labor Force,B25077_001E_Median Home Value,B25064_001E_Median Gross Rent,B25002_002E_Occupied Housing Units,B25002_003E_Vacant Housing Units,B15003_022E_Bachelor's Degree,B15003_023E_Master's Degree,B15003_024E_Professional Degree,B15003_025E_Doctorate Degree,B08301_001E_Total Commuters,B08301_010E_Public Transportation Commuters,B27001_001E_Total Healthcare Coverage,B27001_002E_With Health Insurance,B27001_003E_No Health Insurance,B11001_001E_Total Households,B11001_002E_Family Households,B11001_007E_Non-family Households,state,county,year
"Greenbrier County, West Virginia",35666.0,45.3,44.6,46.7,33577.0,820.0,0.0,138.0,481.0,39746.0,22340.0,6530.0,15205.0,15205.0,14116.0,1089.0,105300.0,630.0,15339.0,3756.0,2917.0,1189.0,424.0,167.0,13955.0,54.0,35035.0,17103.0,1090.0,15339.0,9873.0,5466.0,54,025,2015-12-31
"Mineral County, West Virginia",27755.0,43.2,42.1,44.4,26316.0,873.0,1.0,83.0,239.0,31790.0,19111.0,4562.0,11749.0,11749.0,10716.0,1033.0,118800.0,531.0,11265.0,1811.0,1655.0,663.0,102.0,82.0,10557.0,21.0,27549.0,13630.0,906.0,11265.0,6435.0,4830.0,54,057,2015-12-31
"Lewis County, West Virginia",16434.0,43.3,42.2,44.7,16074.0,88.0,0.0,43.0,177.0,37849.0,21067.0,3357.0,6752.0,6748.0,6259.0,489.0,95500.0,546.0,6526.0,1414.0,1101.0,333.0,212.0,23.0,6126.0,0.0,16348.0,8142.0,735.0,6526.0,4383.0,2143.0,54,041,2015-12-31
"Pocahontas County, West Virginia",8697.0,48.4,47.9,49.0,8415.0,129.0,0.0,0.0,59.0,36827.0,21847.0,1382.0,3949.0,3949.0,3723.0,226.0,115500.0,550.0,3737.0,5104.0,659.0,351.0,24.0,69.0,3643.0,6.0,8392.0,4199.0,243.0,3737.0,2365.0,1372.0,54,075,2015-12-31
"Randolph County, West Virginia",29365.0,43.2,41.7,45.1,28456.0,565.0,62.0,52.0,233.0,39457.0,21139.0,4610.0,12684.0,12684.0,11833.0,851.0,101200.0,560.0,11563.0,2610.0,2245.0,1426.0,197.0,228.0,11671.0,0.0,27548.0,13727.0,844.0,11563.0,7738.0,3825.0,54,083,2015-12-31
"Wirt County, West Virginia",5841.0,45.0,45.4,44.0,5690.0,49.0,23.0,0.0,9.0,39352.0,22125.0,792.0,2472.0,2472.0,2265.0,207.0,80300.0,495.0,2430.0,813.0,322.0,77.0,47.0,51.0,2236.0,0.0,5841.0,2936.0,190.0,2430.0,1607.0,823.0,54,105,2015-12-31
"Clay County, West Virginia",9141.0,43.3,43.4,43.3,8962.0,0.0,37.0,0.0,13.0,31325.0,16827.0,2530.0,3298.0,3298.0,2891.0,407.0,78000.0,477.0,3460.0,1123.0,372.0,237.0,24.0,0.0,2806.0,0.0,9082.0,4558.0,321.0,3460.0,2422.0,1038.0,54,015,2015-12-31
"Monongalia County, West Virginia",101668.0,30.0,28.5,31.3,92088.0,3657.0,123.0,3203.0,2072.0,45467.0,26314.0,20923.0,51362.0,51340.0,48349.0,2991.0,167600.0,747.0,37035.0,7132.0,12468.0,6767.0,2352.0,2446.0,47444.0,911.0,100051.0,51302.0,3113.0,37035.0,19381.0,17654.0,54,061,2015-12-31
"Wetzel County, West Virginia",16157.0,46.0,44.6,47.2,15905.0,19.0,6.0,76.0,105.0,39096.0,21619.0,3169.0,6040.0,6040.0,5548.0,492.0,83500.0,515.0,6525.0,1629.0,703.0,403.0,58.0,48.0,5442.0,0.0,16059.0,7898.0,508.0,6525.0,4278.0,2247.0,54,103,2015-12-31
"Kanawha County, West Virginia",190781.0,42.8,40.9,44.3,169265.0,8539.0,319.0,2100.0,2004.0,45882.0,27642.0,29703.0,90889.0,90805.0,84406.0,6399.0,103100.0,698.0,82250.0,10196.0,20022.0,9440.0,3400.0,1385.0,82083.0,1616.0,189041.0,90851.0,6614.0,82250.0,50964.0,31286.0,54,039,2015-12-31
"Preston County, West Virginia",33809.0,42.3,40.4,43.5,31836.0,1343.0,69.0,53.0,556.0,45064.0,21097.0,4574.0,14934.0,14877.0,13842.0,1035.0,107100.0,584.0,12472.0,2588.0,2236.0,1116.0,62.0,188.0,13540.0,38.0,31484.0,15632.0,1071.0,12472.0,8694.0,3778.0,54,077,2015-12-31
"Ritchie County, West Virginia",10140.0,45.2,45.1,45.3,9961.0,48.0,0.0,0.0,51.0,37636.0,19632.0,2071.0,4174.0,4174.0,3730.0,444.0,73100.0,578.0,3942.0,1874.0,457.0,250.0,46.0,12.0,3634.0,0.0,10073.0,4986.0,283.0,3942.0,2520.0,1422.0,54,085,2015-12-31
"Lincoln County, West Virginia",21560.0,41.9,41.4,42.8,21199.0,103.0,38.0,58.0,24.0,35800.0,19114.0,5870.0,8057.0,8057.0,7245.0,812.0,81000.0,524.0,7994.0,1837.0,855.0,400.0,179.0,0.0,7131.0,4.0,21500.0,10688.0,746.0,7994.0,5462.0,2532.0,54,043,2015-12-31
"Braxton County, West Virginia",14466.0,44.5,43.7,45.3,14164.0,72.0,10.0,0.0,83.0,32750.0,19409.0,2941.0,6165.0,6165.0,5280.0,885.0,79500.0,488.0,5607.0,1782.0,886.0,246.0,64.0,55.0,5203.0,3.0,14109.0,6993.0,454.0,5607.0,3800.0,1807.0,54,007,2015-12-31
"Boone County, West Virginia",24000.0,41.9,41.2,43.2,23595.0,162.0,6.0,22.0,117.0,39958.0,21387.0,5529.0,8360.0,8360.0,7592.0,768.0,75700.0,572.0,9547.0,1519.0,900.0,492.0,49.0,39.0,7310.0,0.0,23884.0,11862.0,854.0,9547.0,6692.0,2855.0,54,005,2015-12-31
"Wyoming County, West Virginia",22866.0,42.8,41.5,44.2,22346.0,179.0,6.0,0.0,77.0,33730.0,19009.0,4934.0,7172.0,7172.0,6451.0,721.0,60200.0,551.0,9199.0,1653.0,737.0,469.0,82.0,3.0,6307.0,0.0,22788.0,11301.0,819.0,9199.0,6504.0,2695.0,54,109,2015-12-31
