NAME,B01001_001E,B01002_001E,B19013_001E,B19301_001E,B23025_002E,B23025_003E,B23025_004E,B25077_001E,B25064_001E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,state,county
"Clark County, Kansas",1977.0,46.3,58287.0,30253.0,956.0,956.0,946.0,78500.0,798.0,287.0,51.0,10.0,5.0,20,025
"Clay County, Kansas",8088.0,43.1,57765.0,32628.0,3939.0,3847.0,3794.0,136600.0,750.0,1005.0,398.0,48.0,42.0,20,027
"Cloud County, Kansas",9008.0,38.8,51197.0,28318.0,4359.0,4359.0,4156.0,91100.0,713.0,860.0,399.0,33.0,45.0,20,029
"Coffey County, Kansas",8334.0,43.9,67645.0,35984.0,4207.0,4182.0,3961.0,131200.0,813.0,907.0,366.0,27.0,8.0,20,031
"Comanche County, Kansas",1825.0,46.8,49754.0,30989.0,913.0,913.0,878.0,63800.0,635.0,222.0,39.0,3.0,11.0,20,033
"Cowley County, Kansas",34661.0,38.1,55726.0,29977.0,16136.0,16136.0,15273.0,104000.0,776.0,3620.0,1644.0,83.0,265.0,20,035
"Crawford County, Kansas",39012.0,32.9,49779.0,28530.0,20354.0,20326.0,19531.0,114100.0,821.0,4567.0,2132.0,183.0,307.0,20,037
"Decatur County, Kansas",2771.0,50.6,49412.0,33767.0,1376.0,1376.0,1308.0,76100.0,700.0,444.0,39.0,36.0,3.0,20,039
"Dickinson County, Kansas",18492.0,41.8,62971.0,35615.0,9210.0,9149.0,8870.0,137000.0,755.0,2186.0,665.0,118.0,90.0,20,041
"Doniphan County, Kansas",7501.0,41.9,66358.0,31314.0,3787.0,3781.0,3721.0,116400.0,733.0,543.0,246.0,94.0,46.0,20,043
"Douglas County, Kansas",119094.0,30.7,66153.0,37261.0,70363.0,70164.0,66803.0,259500.0,1041.0,20252.0,10893.0,2089.0,3249.0,20,045
"Edwards County, Kansas",2849.0,43.8,52750.0,31368.0,1416.0,1414.0,1359.0,65500.0,715.0,280.0,64.0,15.0,11.0,20,047
"Elk County, Kansas",2453.0,50.4,50000.0,28159.0,993.0,993.0,955.0,57100.0,554.0,225.0,94.0,3.0,3.0,20,049
"Ellis County, Kansas",28921.0,32.9,59665.0,37217.0,17295.0,17286.0,16719.0,199100.0,864.0,4187.0,1659.0,400.0,502.0,20,051
"Ellsworth County, Kansas",6374.0,43.1,59844.0,29968.0,2741.0,2734.0,2638.0,109400.0,675.0,666.0,255.0,51.0,21.0,20,053
"Finney County, Kansas",38187.0,31.9,68481.0,29805.0,19787.0,19749.0,18692.0,183900.0,964.0,2784.0,1026.0,188.0,178.0,20,055
"Ford County, Kansas",34212.0,32.6,67997.0,28502.0,17739.0,17739.0,17165.0,121500.0,948.0,2581.0,1170.0,214.0,79.0,20,057
"Franklin County, Kansas",25968.0,40.2,68217.0,32997.0,13479.0,13456.0,13107.0,175500.0,882.0,2586.0,1393.0,186.0,50.0,20,059
"Geary County, Kansas",36247.0,26.6,57992.0,27030.0,18556.0,13856.0,13229.0,162400.0,1132.0,2830.0,1561.0,153.0,117.0,20,061
"Gove County, Kansas",2758.0,42.1,59417.0,33295.0,1341.0,1341.0,1297.0,112800.0,726.0,287.0,54.0,22.0,8.0,20,063
"Graham County, Kansas",2430.0,47.2,47071.0,30222.0,1247.0,1247.0,1171.0,87400.0,696.0,323.0,90.0,16.0,5.0,20,065
"Grant County, Kansas",7336.0,32.9,84808.0,36280.0,3810.0,3750.0,3615.0,147800.0,676.0,585.0,162.0,158.0,0.0,20,067
"Gray County, Kansas",5719.0,36.1,74500.0,34339.0,3001.0,3001.0,2937.0,162400.0,802.0,622.0,134.0,4.0,7.0,20,069
"Greeley County, Kansas",1279.0,40.6,69948.0,36078.0,712.0,712.0,711.0,115700.0,749.0,147.0,81.0,7.0,7.0,20,071
"Greenwood County, Kansas",6001.0,48.4,51812.0,34862.0,2927.0,2927.0,2851.0,64900.0,663.0,455.0,177.0,46.0,17.0,20,073
"Hamilton County, Kansas",2520.0,35.4,58750.0,28145.0,1175.0,1175.0,1175.0,116800.0,900.0,225.0,65.0,1.0,0.0,20,075
"Harper County, Kansas",5457.0,41.5,53032.0,26970.0,2287.0,2287.0,2166.0,81000.0,654.0,418.0,137.0,56.0,27.0,20,077
"Harvey County, Kansas",33959.0,40.5,70685.0,33965.0,17526.0,17511.0,16775.0,160100.0,857.0,4769.0,1715.0,272.0,259.0,20,079
"Haskell County, Kansas",3735.0,38.0,66458.0,32908.0,1877.0,1877.0,1811.0,132500.0,713.0,237.0,111.0,23.0,13.0,20,081
"Hodgeman County, Kansas",1770.0,46.0,63125.0,33911.0,874.0,874.0,856.0,86100.0,854.0,285.0,72.0,5.0,11.0,20,083
"Jackson County, Kansas",13274.0,40.7,70385.0,32499.0,6553.0,6553.0,6418.0,169100.0,821.0,1185.0,581.0,85.0,14.0,20,085
"Jefferson County, Kansas",18387.0,43.2,74562.0,38535.0,9573.0,9555.0,9217.0,193000.0,832.0,1980.0,1034.0,92.0,71.0,20,087
"Jewell County, Kansas",2929.0,51.1,47109.0,32759.0,1329.0,1329.0,1309.0,58400.0,570.0,279.0,84.0,44.0,0.0,20,089
"Johnson County, Kansas",610742.0,38.1,103644.0,56364.0,347267.0,346544.0,335476.0,343300.0,1312.0,142337.0,67106.0,16490.0,9563.0,20,091
"Kearny County, Kansas",3964.0,34.9,68750.0,29465.0,1736.0,1736.0,1697.0,143200.0,996.0,246.0,103.0,16.0,27.0,20,093
"Kingman County, Kansas",7369.0,43.6,59640.0,33453.0,3715.0,3715.0,3540.0,97500.0,832.0,922.0,251.0,75.0,20.0,20,095
"Kiowa County, Kansas",2445.0,41.5,70347.0,35199.0,1294.0,1294.0,1247.0,121600.0,706.0,333.0,75.0,11.0,3.0,20,097
"Labette County, Kansas",20096.0,40.6,56143.0,29585.0,9412.0,9406.0,9176.0,94600.0,723.0,1983.0,782.0,179.0,134.0,20,099
"Lane County, Kansas",1528.0,47.9,52222.0,35779.0,803.0,803.0,800.0,82300.0,575.0,109.0,98.0,1.0,8.0,20,101
"Leavenworth County, Kansas",82050.0,38.0,84307.0,37482.0,38810.0,36256.0,34624.0,240800.0,1102.0,11556.0,6761.0,873.0,521.0,20,103
"Lincoln County, Kansas",2929.0,44.6,52540.0,31383.0,1461.0,1461.0,1435.0,94100.0,532.0,286.0,182.0,22.0,1.0,20,105
"Linn County, Kansas",9696.0,45.0,56697.0,34053.0,4465.0,4465.0,4268.0,148200.0,763.0,1013.0,415.0,69.0,22.0,20,107
"Logan County, Kansas",2752.0,39.9,70382.0,38363.0,1440.0,1440.0,1435.0,116100.0,793.0,385.0,79.0,45.0,0.0,20,109
"Lyon County, Kansas",32182.0,32.9,56415.0,29425.0,17605.0,17498.0,17019.0,136100.0,763.0,2966.0,1759.0,212.0,212.0,20,111
"McPherson County, Kansas",30085.0,39.8,71250.0,34116.0,16028.0,15998.0,15658.0,180900.0,871.0,4250.0,1364.0,268.0,413.0,20,113
"Marion County, Kansas",11867.0,43.4,60011.0,33087.0,5897.0,5893.0,5674.0,114700.0,680.0,1512.0,519.0,81.0,116.0,20,115
"Marshall County, Kansas",10014.0,42.3,64306.0,36854.0,5114.0,5094.0,4951.0,112300.0,671.0,937.0,320.0,112.0,70.0,20,117
"Meade County, Kansas",4019.0,37.7,74063.0,47644.0,2040.0,2040.0,2015.0,137500.0,736.0,413.0,185.0,4.0,17.0,20,119
"Miami County, Kansas",34312.0,42.5,85564.0,40169.0,17665.0,17591.0,17104.0,253100.0,1034.0,4707.0,1896.0,389.0,154.0,20,121
"Mitchell County, Kansas",5829.0,41.9,63008.0,35258.0,2723.0,2723.0,2705.0,100700.0,668.0,749.0,294.0,79.0,5.0,20,123
"Montgomery County, Kansas",31448.0,40.2,51513.0,28270.0,14408.0,14373.0,13703.0,90200.0,747.0,2811.0,1266.0,134.0,61.0,20,125
"Morris County, Kansas",5385.0,46.5,52866.0,32462.0,2702.0,2681.0,2624.0,111700.0,706.0,760.0,241.0,60.0,26.0,20,127
"Morton County, Kansas",2688.0,39.5,57943.0,27423.0,1220.0,1220.0,1180.0,96000.0,653.0,246.0,47.0,28.0,5.0,20,129
"Nemaha County, Kansas",10219.0,40.0,72788.0,36959.0,5214.0,5214.0,5124.0,174500.0,780.0,1248.0,441.0,147.0,39.0,20,131
"Neosho County, Kansas",15826.0,40.3,54894.0,29850.0,7403.0,7403.0,7070.0,99400.0,623.0,1518.0,565.0,89.0,51.0,20,133
"Ness County, Kansas",2677.0,48.4,64907.0,39978.0,1430.0,1430.0,1421.0,80400.0,606.0,332.0,39.0,16.0,0.0,20,135
"Norton County, Kansas",5431.0,40.4,52710.0,28514.0,2193.0,2193.0,2162.0,109800.0,722.0,592.0,194.0,36.0,8.0,20,137
"Osage County, Kansas",15787.0,42.6,66155.0,32120.0,7792.0,7756.0,7496.0,138400.0,781.0,1463.0,592.0,70.0,60.0,20,139
"Osborne County, Kansas",3493.0,46.4,58750.0,34669.0,1865.0,1865.0,1833.0,80600.0,618.0,439.0,110.0,22.0,11.0,20,141
"Ottawa County, Kansas",5768.0,42.3,74551.0,34893.0,3013.0,3009.0,2909.0,157800.0,717.0,693.0,236.0,13.0,15.0,20,143
"Pawnee County, Kansas",6288.0,46.1,54141.0,32542.0,2838.0,2812.0,2766.0,93800.0,769.0,626.0,209.0,63.0,15.0,20,145
"Phillips County, Kansas",4960.0,44.9,57611.0,34396.0,2416.0,2416.0,2320.0,95400.0,601.0,491.0,175.0,33.0,5.0,20,147
"Pottawatomie County, Kansas",25482.0,35.8,85241.0,35715.0,12758.0,12589.0,12356.0,221600.0,1009.0,3957.0,1558.0,241.0,422.0,20,149
"Pratt County, Kansas",9175.0,37.6,61685.0,31949.0,4443.0,4441.0,4283.0,111100.0,763.0,1039.0,434.0,130.0,31.0,20,151
"Rawlins County, Kansas",2544.0,46.2,61827.0,33003.0,1357.0,1357.0,1344.0,108500.0,695.0,249.0,43.0,17.0,15.0,20,153
