NAME_Geographic Area Name,B01001_001E_Total Population,B01002_001E_Median Age,B01002_002E_Median Age (Male),B01002_003E_Median Age (Female),B02001_002E_White Population,B02001_003E_Black Population,B02001_004E_American Indian Population,B02001_005E_Asian Population,B03003_003E_Hispanic or Latino Population,B19013_001E_Median Household Income,B19301_001E_Per Capita Income,B17001_002E_Population Below Poverty Level,B23025_002E_Total Labor Force,B23025_003E_Labor Force - Employed,B23025_004E_Labor Force - Unemployed,B23025_005E_Not in Labor Force,B25077_001E_Median Home Value,B25064_001E_Median Gross Rent,B25002_002E_Occupied Housing Units,B25002_003E_Vacant Housing Units,B15003_022E_Bachelor's Degree,B15003_023E_Master's Degree,B15003_024E_Professional Degree,B15003_025E_Doctorate Degree,B08301_001E_Total Commuters,B08301_010E_Public Transportation Commuters,B27001_001E_Total Healthcare Coverage,B27001_002E_With Health Insurance,B27001_003E_No Health Insurance,B11001_001E_Total Households,B11001_002E_Family Households,B11001_007E_Non-family Households,state,year
Georgia,9810417.0,35.6,34.2,36.8,5948977.0,3010984.0,24496.0,330392.0,875849.0,49179.0,25182.0,1736680.0,4852644.0,4799681.0,4254879.0,544802.0,151300.0,860.0,3518097.0,576715.0,1121880.0,453219.0,121272.0,71463.0,4210796.0,89098.0,9610713.0,4635945.0,419523.0,3518097.0,2400096.0,1118001.0,13,2013-12-31
Idaho,1583364.0,34.9,34.1,35.8,1455692.0,8957.0,19984.0,20141.0,180901.0,46767.0,22568.0,240298.0,766649.0,763379.0,696190.0,67189.0,162100.0,728.0,579797.0,90287.0,172377.0,54722.0,13830.0,9964.0,684393.0,5644.0,1562894.0,778840.0,73209.0,579797.0,404646.0,175151.0,16,2013-12-31
Hawaii,1376298.0,38.3,36.8,39.9,344488.0,24532.0,3050.0,526743.0,128171.0,67402.0,29305.0,149531.0,728795.0,688820.0,640072.0,48748.0,503100.0,1380.0,449771.0,72393.0,186379.0,63311.0,20481.0,12321.0,663718.0,42251.0,1323796.0,648430.0,54585.0,449771.0,312058.0,137713.0,15,2013-12-31
Illinois,12848554.0,36.8,35.5,38.2,9320910.0,1851524.0,27548.0,609923.0,2060706.0,56797.0,29666.0,1772333.0,6718236.0,6698936.0,5998320.0,700616.0,182300.0,890.0,4772723.0,518981.0,1657947.0,739404.0,180829.0,97616.0,5893225.0,514782.0,12668117.0,6187083.0,502439.0,4772723.0,3136362.0,1636361.0,17,2013-12-31
Indiana,6514861.0,37.1,35.8,38.4,5510618.0,592954.0,14975.0,107563.0,400788.0,48248.0,24635.0,969881.0,3283407.0,3279355.0,2963879.0,315476.0,122800.0,730.0,2481793.0,319102.0,632094.0,258886.0,55880.0,40860.0,2911709.0,30833.0,6414808.0,3142734.0,264143.0,2481793.0,1655596.0,826197.0,18,2013-12-31
Iowa,3062553.0,38.1,36.7,39.4,2802839.0,91754.0,9440.0,55878.0,157711.0,51843.0,27027.0,367414.0,1650140.0,1647943.0,1553030.0,94913.0,124300.0,670.0,1226547.0,114454.0,359520.0,112200.0,29132.0,20867.0,1526130.0,16483.0,3016863.0,1492203.0,121241.0,1226547.0,795274.0,431273.0,19,2013-12-31
Kansas,2868107.0,36.0,34.7,37.4,2449273.0,164299.0,23958.0,70408.0,308122.0,51332.0,26929.0,382820.0,1509187.0,1491412.0,1387071.0,104341.0,128400.0,732.0,1110440.0,125045.0,363386.0,143301.0,32858.0,20270.0,1378025.0,6521.0,2808883.0,1383654.0,124570.0,1110440.0,729607.0,380833.0,20,2013-12-31
Kentucky,4361333.0,38.2,36.8,39.5,3835013.0,341576.0,8811.0,51411.0,136340.0,43036.0,23462.0,796202.0,2076555.0,2059754.0,1857767.0,201987.0,120400.0,655.0,1694996.0,235162.0,372738.0,183161.0,47346.0,25428.0,1832657.0,20249.0,4273751.0,2084657.0,171793.0,1694996.0,1137576.0,557420.0,21,2013-12-31
Louisiana,4567968.0,36.0,34.7,37.3,2874235.0,1463345.0,28466.0,73460.0,202145.0,44874.0,24442.0,846780.0,2203325.0,2187544.0,1995378.0,192166.0,138900.0,773.0,1707852.0,266461.0,433526.0,144867.0,45547.0,26235.0,1963928.0,25497.0,4463986.0,2154239.0,190246.0,1707852.0,1132483.0,575369.0,22,2013-12-31
Maine,1328320.0,43.2,42.1,44.3,1264047.0,14637.0,7364.0,14391.0,17946.0,48453.0,26824.0,175624.0,703066.0,700965.0,647099.0,53866.0,174500.0,764.0,553823.0,168148.0,169061.0,66849.0,16746.0,10964.0,633153.0,3828.0,1313789.0,641294.0,41926.0,553823.0,350205.0,203618.0,23,2013-12-31
